Item URL,Name,Price,Sizes Available,SKU,Categories,Description,All image URLs
https://www.copunderdog.com/shop/sneakers/nike/nike-dunk-high-spartan-green/,Nike Dunk High Spartan Green,"₹28,999.00",9.5,N/A,"Nike,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2020/11/dunk-high-spartan-green-release-date.jpg
https://www.copunderdog.com/shop/sneakers/nike/nike-dunk-high-panda/,Nike Dunk High Panda,"₹17,999.00","2.5,5",N/A,"Bae Section,Nike,Sneakers","BRAND NEW,IN STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2021/10/41.png
https://www.copunderdog.com/shop/sneakers/nike/ambush-x-nike-dunk-high-black/,Ambush x Nike Dunk High Black,"₹75,000.00",11.5,N/A,"Nike,Sneakers","BRAND NEW,IN STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2021/08/Adobe_Post_20210818_1651380.13355480449235302.png
https://www.copunderdog.com/shop/sneakers/nike/nike-dunk-high-syracuse/,Nike Dunk High Syracuse,"₹22,500.00",8,N/A,"Nike,SALE-2022,Sneakers","Brand new,in store ready to ship",https://www.copunderdog.com/wp-content/uploads/2021/03/8.png
https://www.copunderdog.com/shop/sneakers/nike/nike-dunk-low-dusty-olive/,Nike Dunk Low Dusty Olive,"₹32,000.00",9,N/A,"Nike,Nike,SALE-2022,Sneakers",BRAND NEW IN STORE READY TO SHIP,https://www.copunderdog.com/wp-content/uploads/2022/01/28.jpeg
https://www.copunderdog.com/shop/sneakers/nike/nike-dunk-low-championship-red/,Nike Dunk Low Championship Red,"₹14,999.00","8,9",N/A,"Nike,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2021/09/champ.jpg
https://www.copunderdog.com/shop/sneakers/jordans/nike-ld-waffle-sacai-blue-multi/,Nike LD Waffle Sacai Blue Multi,"₹65,000.00",9.5,N/A,"Jordans,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2021/08/34.png
https://www.copunderdog.com/shop/sneakers/nike/nike-dunk-low-co-jp-samba/,Nike Dunk Low Co.Jp Samba,"₹29,999.00","9,10",N/A,"Nike,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2020/11/dunk-low-samba-release-date.jpg
https://www.copunderdog.com/shop/sneakers/nike/nike-x-sacai-blazer-low-british-tan/,Nike X Sacai Blazer Low British Tan,"₹15,999.00",8,N/A,"Nike,SALE-2022,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2021/08/39-1.png
https://www.copunderdog.com/shop/sneakers/nike/off-white-dunk-low-lot-23/,Off-White Dunk Low Lot-23,"₹60,000.00",7,N/A,"Nike,Nike,SALE-2022,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2021/12/PHOTO-2021-12-28-11-17-53-3.jpg
https://www.copunderdog.com/shop/sneakers/nike/nike-kwondo-1-gdragon-peaceminusone-triple-white-copy/,Nike Kwondo 1 Gdragon Peaceminusone Triple White,"₹15,999.00","6.5,8.5",N/A,"Nike,Sneakers",Brand new in store ready to ship,https://www.copunderdog.com/wp-content/uploads/2021/12/kwondo.jpg
https://www.copunderdog.com/shop/sneakers/nike/dunk-low-golden-rod/,Nike Dunk Low Goldenrod,"₹14,999.00",7,N/A,"Nike,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2021/10/golden-rod.jpg
https://www.copunderdog.com/shop/sneakers/nike/sacai-x-nike-vaporwaffle-black/,Sacai X Nike Vaporwaffle Sesame,"₹39,500.00",10.5,N/A,"Nike,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2021/04/nike-x-sacai-vaporwaffle-sesame-and-blue-void-release-date.jpg
https://www.copunderdog.com/shop/sneakers/reebok-classic-cl-nu-beige/,Reebok Classic Cl Nu Alabaster,"₹4,999.00",7,N/A,Sneakers,"Brand new,No box",https://www.copunderdog.com/wp-content/uploads/2021/02/Adobe_Post_20210204_1808450.9742964793125887.png
